genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['jug band'],0.395,0.267,0.803,86.687,0,0.0,0,Instrumental / Acoustic,-30.963883881975235,-0.010455724563874336
['jug band'],0.767,0.274,0.868,124.403,0,0.0,0,Instrumental / Acoustic,6.751940529222708,0.10488896591637553
[],0.412,0.902,0.627,111.362,1,0.0,0,Mainstream / Party,-6.28805984712217,0.19664016050598532
['big band'],0.644,0.451,0.641,135.913,0,0.0,1,Instrumental / Acoustic,18.262062982175138,-0.01791271614472123
['stride'],0.582,0.548,0.705,116.863,0,0.0,0,Instrumental / Acoustic,-0.7876574159039365,0.09477768865875602
['classic colombian pop'],0.441,0.222,0.499,77.38,0,0.0,0,Instrumental / Acoustic,-40.27123358677707,-0.23598920194775175
['rebetiko'],0.469,0.303,0.354,108.144,0,0.0,0,Instrumental / Acoustic,-9.50730101309577,-0.33367036467706307
['classic soundtrack'],0.203,0.418,0.182,89.15,0,0.0,0,Instrumental / Acoustic,-28.501106774609468,-0.4519610352233685
['classic soundtrack'],0.168,0.162,0.151,81.395,0,0.0,0,Instrumental / Acoustic,-36.256520859582835,-0.6239249249293298
['classic soundtrack'],0.522,0.0974,0.27,124.678,0,0.0,0,Instrumental / Acoustic,7.02623341399125,-0.5237201820750629
['classic soundtrack'],0.288,0.321,0.281,88.203,0,0.0,0,Instrumental / Acoustic,-29.448214758146392,-0.4059699168906775
['classic soundtrack'],0.343,0.177,0.351,88.34,0,0.0,0,Instrumental / Acoustic,-29.31141307579621,-0.4201583998390972
['classic soundtrack'],0.394,0.525,0.327,94.125,0,0.0,0,Instrumental / Acoustic,-23.52590217366297,-0.22784165984473836
['classic soundtrack'],0.248,0.198,0.719,178.487,0,0.0,0,Instrumental / Acoustic,60.83582922379122,-0.2949083298274038
['classic soundtrack'],0.394,0.334,0.449,117.29,0,0.0,0,Instrumental / Acoustic,-0.3611469585091953,-0.28171501311666564
['classic soundtrack'],0.612,0.535,0.613,129.499,1,0.0,1,Mainstream / Party,11.84820174806677,0.009297180205144362
['vintage italian pop'],0.545,0.185,0.502,89.515,0,0.0,0,Instrumental / Acoustic,-28.136362647171808,-0.2401166017203008
['italian bass'],0.198,0.242,0.22,171.95,0,0.0,0,Instrumental / Acoustic,54.29849049244967,-0.6491252747457881
['vintage chanson'],0.541,0.0897,0.593,104.328,0,0.0,0,Instrumental / Acoustic,-13.323461946392428,-0.25048892926477007
['british dance band'],0.531,0.0697,0.422,130.869,0,0.0,0,Instrumental / Acoustic,13.217308516978392,-0.43228793911495295
['oratory'],0.715,0.271,0.287,112.66,0,1.0,1,Instrumental / Acoustic,-4.991537576389561,-0.3310709621471321
['bhajan'],0.439,0.0673,0.248,134.679,0,0.0,0,Instrumental / Acoustic,17.027185518629636,-0.5987204721812777
['romanian rock'],0.676,0.333,0.44,115.179,0,0.0,1,Instrumental / Acoustic,-2.4722859781165596,-0.19649967266974788
['romanian rock'],0.584,0.326,0.611,112.894,0,0.0,0,Instrumental / Acoustic,-4.757096855877947,-0.09838004009447598
['romanian rock'],0.569,0.242,0.584,105.752,0,0.0,0,Instrumental / Acoustic,-11.899237655744727,-0.16176936541674203
['romanian rock'],0.403,0.316,0.285,116.625,0,0.0,1,Instrumental / Acoustic,-1.0263259254984405,-0.41114133942102044
['romanian rock'],0.424,0.218,0.549,104.223,0,0.0,1,Instrumental / Acoustic,-13.428236738451872,-0.2456863619939902
['romanian rock'],0.623,0.211,0.358,113.187,0,0.0,0,Instrumental / Acoustic,-4.464529385887516,-0.3428002170691553
"['laiko', 'rebetiko']",0.409,0.396,0.911,174.498,1,0.0,0,Mainstream / Party,56.847254787243685,0.021022574182583686
['rebetiko'],0.552,0.337,0.766,77.061,0,0.0,0,Instrumental / Acoustic,-40.58985935900395,0.06652254820680736
['vintage chanson'],0.426,0.223,0.353,121.284,0,0.0,0,Instrumental / Acoustic,3.6325638792088313,-0.4139229972180222
['big band'],0.533,0.561,0.534,97.816,0,0.0,0,Instrumental / Acoustic,-19.834730920001277,-0.01324868295534265
['carnatic'],0.376,0.428,0.877,127.903,0,0.0,1,Instrumental / Acoustic,10.252377813499805,0.0721404464873101
['carnatic'],0.558,0.346,0.844,93.228,0,0.0,1,Instrumental / Acoustic,-24.422807529934886,0.10832409202521476
['carnatic'],0.309,0.414,0.635,168.529,0,0.0,1,Instrumental / Acoustic,50.87809561250904,-0.1980752267167578
['muzica populara'],0.66,0.193,0.393,110.338,0,0.0,0,Instrumental / Acoustic,-7.313539671294308,-0.31115991876946364
['classic bollywood'],0.596,0.0622,0.637,68.643,0,0.0,0,Instrumental / Acoustic,-49.00842778882959,-0.1637254391617916
['classic bollywood'],0.542,0.121,0.682,66.527,0,0.0,0,Instrumental / Acoustic,-51.1242623405944,-0.10982311039987802
['classic bollywood'],0.458,0.0159,0.355,169.963,0,0.0,0,Instrumental / Acoustic,52.31112355016219,-0.5943159563997893
['classic bollywood'],0.392,0.0973,0.648,80.681,0,0.0,0,Instrumental / Acoustic,-36.97028651784085,-0.21742724374630884
['classic bollywood'],0.649,0.209,0.552,101.888,0,0.0,0,Instrumental / Acoustic,-15.763350726652632,-0.17389348178931097
['classic bollywood'],0.562,0.0817,0.797,73.011,0,0.0,0,Instrumental / Acoustic,-44.64024495183848,-0.04978561878809007
['tamil pop'],0.404,0.468,0.93,67.929,0,0.0,1,Instrumental / Acoustic,-49.72141256696523,0.23203605791660753
['danish jazz'],0.679,0.398,0.964,153.26,2,0.0,0,Happy / Dance,35.609216922380625,0.1786755252199428
['danish jazz'],0.636,0.0962,0.516,145.588,0,0.0,1,Instrumental / Acoustic,27.93635905816498,-0.33479611295979816
['danish jazz'],0.554,0.147,0.619,143.589,0,0.0,0,Instrumental / Acoustic,25.937576331270265,-0.2511819486635073
['velha guarda'],0.546,0.541,0.719,82.112,0,0.0,0,Instrumental / Acoustic,-35.53857539636968,0.140784985284101
['velha guarda'],0.753,0.511,0.752,119.691,0,0.0,0,Instrumental / Acoustic,2.040238318516984,0.15850349421836607
['comic'],0.597,0.221,0.614,89.097,2,0.0,1,Happy / Dance,-28.554227659728298,-0.11820419277751704
['comic'],0.273,0.228,0.277,83.863,0,0.0,1,Instrumental / Acoustic,-33.788354816145954,-0.46149386965355266
[],0.598,0.185,0.869,95.185,0,0.0,0,Instrumental / Acoustic,-22.466070037679643,0.04312015816372361
[],0.673,0.253,0.856,150.167,2,0.0,2,Happy / Dance,32.51589261243282,0.01604227072458997
['filmi'],0.439,0.251,0.384,71.094,0,0.0,0,Instrumental / Acoustic,-46.557276627983086,-0.2966052704898839
['filmi'],0.459,0.386,0.897,123.709,0,0.0,0,Instrumental / Acoustic,6.058295750791046,0.09514199557130965
