genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label
['new orleans jazz'],0.802,0.383,0.96,107.059,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.73,0.389,0.925,99.4,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.731,0.249,0.832,78.711,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.757,0.382,0.907,101.399,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.75,0.329,0.887,96.055,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.748,0.164,0.913,99.143,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.786,0.39,0.899,117.542,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.809,0.349,0.958,107.197,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.809,0.349,0.958,107.197,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.75,0.329,0.887,96.055,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.747,0.278,0.909,96.085,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.747,0.278,0.909,96.085,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.791,0.401,0.928,107.604,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.786,0.39,0.899,117.542,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.714,0.181,0.797,92.418,0,0.0,0.0,Instrumental / Acoustic
['new orleans jazz'],0.718,0.37,0.539,101.563,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.718,0.37,0.539,101.563,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.802,0.383,0.96,107.059,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.724,0.295,0.582,97.628,0,0.0,0.0,Instrumental / Acoustic
['new orleans jazz'],0.713,0.316,0.869,174.84,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.729,0.269,0.709,79.694,0,0.0,,Instrumental / Acoustic
['new orleans jazz'],0.757,0.338,0.846,108.481,0,0.0,,Instrumental / Acoustic
